title,source,url,worth
Zhang Zhidong Net Worth,Internet,https://www.therichest.com/celebnetworth/celebrity-business/men/zhang-zhidong-net-worth/,$16.8 Billion
Ronald Perelman Net Worth,Leverage Buyout,https://www.therichest.com/celebnetworth/celebrity-business/investors/ronald-perelman-net-worth/,$16.8 Billion
Heinz Hermann Thiele Net Worth,Business,https://www.therichest.com/celebnetworth/celebrity-business/men/heinz-hermann-thiele-net-worth/,$16.7 Billion
Ernesto Bertarelli Net Worth,"Biotech, Investments",https://www.therichest.com/celebnetworth/celebrity-business/entrepreneurs/ernesto-bertarelli-net-worth/,$16.7 Billion
Ernesto and Kirsty Bertarelli Net Worth,Pharmaceuticals,https://www.therichest.com/celebnetworth/celebrity-business/tech-billionaire/ernesto-and-kirsty-bertarelli-net-worth/,$16.7 Billion
Lui Che Woo Net Worth,Casinos,https://www.therichest.com/celebnetworth/celebrity-business/men/lui-che-woo-net-worth/,$16.7 Billion
Stephen Schwarzman Net Worth,Business and Company,https://www.therichest.com/celebnetworth/celebrity-business/men/stephen-schwarzman-net-worth/,$16.7 Billion
James Simons Net Worth,Hedge Funds,https://www.therichest.com/celebnetworth/celebrity-business/hedge-fund/james-simons-net-worth/,$16.7 Billion
Charoen Sirivadhanabhakdi Net Worth,Drinks,https://www.therichest.com/celebnetworth/celebrity-business/entrepreneurs/charoen-sirivadhanabhakdi-net-worth/,$16.5 Billion
Cheng Yu-Tung Net Worth,"Real Estate, Jewelry",https://www.therichest.com/celebnetworth/celebrity-business/men/cheng-yu-tung-net-worth/,$16.5 Billion
R. Budi Hartono Net Worth,"Banking, Tobacco",https://www.therichest.com/celebnetworth/celebrity-business/men/r-budi-hartono-net-worth/,$16.5 Billion
Wang Jianlin Net Worth,Business (Dalian Wanda Group),https://www.therichest.com/celebnetworth/celebrity-business/men/wang-jianlin-net-worth/,$16.3 Billion
Thomas Peterffy Net Worth,Interactive Brokers,https://www.therichest.com/celebnetworth/celebrity-business/men/thomas-peterffy-net-worth/,$16.3 Billion
Gina Rinehart Net Worth,Mining,https://www.therichest.com/celebnetworth/celebrity-business/women/gina-rinehart-net-worth/,$16.2 Billion
Stefan Quandt Net Worth,Business and Company,https://www.therichest.com/celebnetworth/celebrity-business/stefan-quandt-net-worth/,$16.2 Billion
Aliko Dangote Net Worth,"Sugar, Flour, Cement , Self-made",https://www.therichest.com/celebnetworth/celebrity-business/men/aliko-dangote-net-worth/,$16.1 Billion
Stefan Persson Net Worth,Business and Real Estate,https://www.therichest.com/celebnetworth/celebrity-business/men/stefan-persson-net-worth/,$16.1 Billion
Iris Fontbona Net Worth,Mining,https://www.therichest.com/celebnetworth/celebrity-business/women/iris-fontbona-net-worth/,$16 Billion
